filename,Bi,SBi,Si,NUMBER_OF_REPET,MAX_STEP,RANDSEED,FRAMEFREQ,Side_of_world,currCriterion,noiseInfoProb,epochOfAmbient,epochOfScramblers,SCRAMBLERS_FLIP_EPO,epochOfTrust,AGENTS_FLIP_EPO,phaseStepForAmbient,MAXAMP,minNumOfWaves,maxNumOfWaves,IntMode,minNumOfScramblers,maxNumOfScramblers,SCRAMB_BIAS_MEAN,SCRAMB_BIAS_DISP,epochOfScramblers,ScramblerEuclid,ScramblerMOVEMENT,NumberOfAgents,AgentMOVEMENT,AgentBrownian,networkType,epochOfTrust,symetricConnections,minInitialTrust,maxInitialTrust,maxERRORofSensors,MIN_TRUST,BIASmean_for_typical_agents,BIAS_DISP,MAX_RECUR_LEVEL,ALFA,BETA,GAMA,LENGTH_of_LEARNING,STEPSperSTAT,REAL_REPET,LAST_REP_ST,OpiAmbDif_fin_N,OpiAmbDif_fin_MIN,OpiAmbDif_fin_HAMN,OpiAmbDif_fin_SQMN,OpiAmbDif_fin_MEAN,OpiAmbDif_fin_QUMN,OpiAmbDif_fin_MAX,OpiAmbDif_fin_STDD,OpiAmbDif_fin_MED,SenAmbDif_fin_N,SenAmbDif_fin_MIN,SenAmbDif_fin_HAMN,SenAmbDif_fin_SQMN,SenAmbDif_fin_MEAN,SenAmbDif_fin_QUMN,SenAmbDif_fin_MAX,SenAmbDif_fin_STDD,SenAmbDif_fin_MED,TomRatio_fin_N,TomRatio_fin_MIN,TomRatio_fin_HAMN,TomRatio_fin_SQMN,TomRatio_fin_MEAN,TomRatio_fin_QUMN,TomRatio_fin_MAX,TomRatio_fin_STDD,TomRatio_fin_MED
RTSIsc1.49gRnd0000014195_Ne.4Si50_Cr.0Bi44.00-20SBi10.00-5nA400Am0.0Sm0.5mT0.001No0Al0.1Be0eT0eA400eS0eFS0eFa0.par,44.0,10.0,50.0,25,1600,14195,500,50,0,0,400,,0,,0,0.015708,20,8,16,1,38,42,10,5,0,0,0.5,400,0,0,4,0,1,0.5,0.5,10,0.001,44,20,6,0.1,0,0.1,-1,1,26,1600,40000,0,105.648,106.308,106.62,107.119,130.129,106.657,108.397,40000,98.066,114.778,114.966,115.028,115.151,133.358,28.442,115.218,40000,0,0.921493,0.924225,0.925989,0.928511,1.01712,0.00467696,0.941679
RTSIsc1.49gRnd0000013022_Ne.4Si50_Cr.0Bi-29.00-20SBi04.50-5nA400Am0.0Sm0.5mT0.001No0Al0.1Be0eT0eA400eS0eFS0eFa0.par,-29.0,4.5,50.0,25,1600,13022,500,50,0,0,400,,0,,0,0.015708,20,8,16,1,38,42,4.5,5,0,0,0.5,400,0,0,4,0,1,0.5,0.5,10,0.001,-29,20,6,0.1,0,0.1,-1,1,26,1600,40000,0,0.490898,3.80694,4.66332,6.16422,33.4355,16.2511,3.53083,40000,0.00103092,3.67933,12.759,14.2723,16.629,38.545,72.8271,13.6037,40000,0,0.0661873,0.337971,0.576048,15.4004,2970.94,236.842,0.318691
RTSIsc1.49gRnd0000012289_Ne.4Si50_Cr.0Bi38.00-20SBi00.50-5nA400Am0.0Sm0.5mT0.001No0Al0.1Be0eT0eA400eS0eFS0eFa0.par,38.0,0.5,50.0,25,1600,12289,500,50,0,0,400,,0,,0,0.015708,20,8,16,1,38,42,0.5,5,0,0,0.5,400,0,0,4,0,1,0.5,0.5,10,0.001,38,20,6,0.1,0,0.1,-1,1,26,1600,40000,0,9.0203,21.1363,22.2343,23.9208,55.4426,77.8438,23.0024,40000,19.094,40.3922,41.6289,41.9951,42.6679,60.2822,56.9608,42.4412,40000,0,0.272212,0.500222,0.516902,0.541884,1.07149,0.0264507,0.54559
RTSIsc1.49gRnd0000011861_Ne.4Si50_Cr.0Bi10.00-20SBi-01.50-5nA400Am0.0Sm0.5mT0.001No0Al0.1Be0eT0eA400eS0eFS0eFa0.par,10.0,-1.5,50.0,25,1600,11861,500,50,0,0,400,,0,,0,0.015708,20,8,16,1,38,42,-1.5,5,0,0,0.5,400,0,0,4,0,1,0.5,0.5,10,0.001,10,20,6,0.1,0,0.1,-1,1,26,1600,40000,0,0.363866,2.11719,2.59031,3.48082,23.2115,5.40641,1.97139,40000,0.000217795,1.00876,6.70894,7.89971,9.85304,26.0034,34.6771,6.5455,40000,0,0.0745326,0.464815,1.23233,31.4175,5012.46,985.544,0.329789
RTSIsc1.49gRnd0000010385_Ne.4Si50_Cr.0Bi34.00-20SBi-09.00-5nA400Am0.0Sm0.5mT0.001No0Al0.1Be0eT0eA400eS0eFS0eFa0.par,34.0,-9.0,50.0,25,1600,10385,500,50,0,0,400,,0,,0,0.015708,20,8,16,1,38,42,-9,5,0,0,0.5,400,0,0,4,0,1,0.5,0.5,10,0.001,34,20,6,0.1,0,0.1,-1,1,26,1600,40000,0,4.28432,23.3256,25.4724,28.8246,75.7531,182.014,24.0154,40000,8.11079,39.8552,43.9106,45.0954,47.2886,80.7491,202.612,43.9529,40000,0,0.148017,0.509982,0.529308,0.557828,1.10238,0.0310057,0.562321
RTSIsc1.49gRnd0000012447_Ne.4Si50_Cr.0Bi-04.00-20SBi01.50-5nA400Am0.0Sm0.5mT0.001No0Al0.1Be0eT0eA400eS0eFS0eFa0.par,-4.0,1.5,50.0,25,1600,12447,500,50,0,0,400,,0,,0,0.015708,20,8,16,1,38,42,1.5,5,0,0,0.5,400,0,0,4,0,1,0.5,0.5,10,0.001,-4,20,6,0.1,0,0.1,-1,1,26,1600,40000,0,0.445101,3.33536,4.08579,5.39605,32.6974,12.4236,3.12542,40000,1.23978e-05,0.431124,11.424,12.7698,14.9685,38.2834,60.9872,11.5039,40000,0,0.0619036,0.332305,1.24678,152.132,30417.2,23142.6,0.307553
RTSIsc1.49gRnd0000013538_Ne.4Si50_Cr.0Bi-13.00-20SBi07.00-5nA400Am0.0Sm0.5mT0.001No0Al0.1Be0eT0eA400eS0eFS0eFa0.par,-13.0,7.0,50.0,25,1600,13538,500,50,0,0,400,,0,,0,0.015708,20,8,16,1,38,42,7,5,0,0,0.5,400,0,0,4,0,1,0.5,0.5,10,0.001,-13,20,6,0.1,0,0.1,-1,1,26,1600,40000,0,13.4937,25.998,27.6038,30.3757,81.1272,160.711,26.9812,40000,21.0721,45.3098,47.3765,48.0457,49.347,81.765,126.728,47.1644,40000,0,0.338017,0.537842,0.553755,0.578003,1.06941,0.0274427,0.578094
RTSIsc1.49gRnd0000011111_Ne.4Si50_Cr.0Bi-40.00-20SBi-05.00-5nA400Am0.0Sm0.5mT0.001No0Al0.1Be0eT0eA400eS0eFS0eFa0.par,-40.0,-5.0,50.0,25,1600,11111,500,50,0,0,400,,0,,0,0.015708,20,8,16,1,38,42,-5,5,0,0,0.5,400,0,0,4,0,1,0.5,0.5,10,0.001,-40,20,6,0.1,0,0.1,-1,1,26,1600,40000,0,58.029,60.5273,61.3275,62.7479,97.2874,176.231,62.5477,40000,55.2849,79.5698,80.7076,81.0781,81.8002,101.691,117.623,81.5647,40000,0,0.736856,0.746705,0.750223,0.756012,1.02219,0.00872038,0.765215
RTSIsc1.49gRnd0000012520_Ne.4Si50_Cr.0Bi-31.00-20SBi02.00-5nA400Am0.0Sm0.5mT0.001No0Al0.1Be0eT0eA400eS0eFS0eFa0.par,-31.0,2.0,50.0,25,1600,12520,500,50,0,0,400,,0,,0,0.015708,20,8,16,1,38,42,2,5,0,0,0.5,400,0,0,4,0,1,0.5,0.5,10,0.001,-31,20,6,0.1,0,0.1,-1,1,26,1600,40000,0,0.276672,3.89779,4.81927,6.40584,27.89,17.8093,3.4981,40000,0.000754118,1.52747,11.7269,13.4958,15.9442,32.6797,72.0807,12.7931,40000,0,0.037515,0.443566,1.23004,28.3318,3723.89,801.178,0.347415
RTSIsc1.49gRnd0000012105_Ne.4Si50_Cr.0Bi-46.00-20SBi00.00-5nA400Am0.0Sm0.5mT0.001No0Al0.1Be0eT0eA400eS0eFS0eFa0.par,-46.0,0.0,50.0,25,1600,12105,500,50,0,0,400,,0,,0,0.015708,20,8,16,1,38,42,0,5,0,0,0.5,400,0,0,4,0,1,0.5,0.5,10,0.001,-46,20,6,0.1,0,0.1,-1,1,26,1600,40000,0,15.211,25.381,26.822,29.1741,71.161,131.713,26.3562,40000,25.3005,45.3093,46.6463,47.09,47.9655,72.2278,83.2189,46.3275,40000,0,0.358369,0.534998,0.55273,0.579148,1.11964,0.0299022,0.580512
