filename,Bi,SBi,Si,$REPET,StepCounter,ambientTemp,meanTemp,meanSensors,meanOpinion,sdevOpinion,minOpinion,maxOpinion,meanReliability,mnOpinErr!,mnSensErr!,mnOpSensDiff!,mnOpAmbDiff!,providersCount,cntProviders,newProviders,delProviders,self_net,meanDistSelf,meanDistNet,liveCount,link_up,link_dw,sensor_up,sensor_dw,howManyLinks,Ambient_waves_numb,Scrambs_numb,HistTooLow,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,HistTooHig,mnSensAmbDiff!,ratioRTSI2WoC
RTSIsc1.48dRnd0000010654_Ne.4Si50_Cr.0Bi04.00-5SBi-07.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,4.0,-7.0,50.0,50.5,319.5,0.20193237,-56.16596,-52.40324,-40.12537,370.88492,-89.57996,42.60015,0.29324433,15.541985,3.2904375,11.791109,39.874344,38.395767,24.676407,13.719359,13.658953,18.512016,53.732655,40.997944,159.75,102.96516,56.784843,56.784843,102.96516,631.92,5.4675155,37.01,0.0,10.960734,33.28508,46.70797,56.073376,82.41414,184.00262,60.074608,50.803375,44.792736,62.80536,0.0,52.605175,0.7497585
RTSIsc1.48dRnd0000011933_Ne.4Si50_Cr.0Bi-17.00-5SBi-00.50-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-17.0,-0.5,50.0,50.5,319.5,0.34925318,-3.838251,-20.617243,-11.901322,297.50952,-67.00142,61.466797,0.3317218,8.273219,16.2785,8.448125,12.186344,42.32689,26.844671,15.482219,15.417578,20.093157,24.98948,16.100834,159.75,95.81447,63.93553,63.93553,95.81447,631.96,5.522375,37.01,0.0,6.5242343,30.305906,53.38836,69.46395,96.146484,183.86516,60.849407,47.38089,37.645313,46.390297,0.0,21.246166,0.9761707
RTSIsc1.48dRnd0000012150_Ne.4Si50_Cr.0Bi00.00-5SBi00.50-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,0.0,0.5,50.0,50.5,319.5,0.19483322,4.748722,4.700756,2.387722,267.54333,-61.452244,65.03321,0.36564782,5.158344,0.89479685,5.0374064,4.6110935,45.78989,28.68564,17.10425,17.033907,22.075,17.332521,10.812456,159.75,89.13797,70.61203,70.61203,89.13797,631.34,5.520094,37.04,0.0,4.7947187,28.05336,56.8855,79.28122,107.90427,184.14972,61.4078,43.614937,31.597578,33.650906,0.0,9.679827,0.98544574
RTSIsc1.48dRnd0000010105_Ne.4Si50_Cr.0Bi-45.00-5SBi-09.50-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-45.0,-9.5,50.0,50.5,319.5,0.44340837,-76.07848,-104.713776,-101.60919,418.36588,-109.824104,29.044788,0.48029763,25.357,28.135094,2.9558907,101.558815,45.396454,24.493876,20.902578,20.839594,59.745983,106.201385,102.55094,159.75,48.152187,111.59781,111.59781,48.152187,631.88,5.4926095,36.87,0.0,128.59387,110.516685,82.63144,63.379795,65.11681,107.40497,24.48953,18.94736,15.40786,15.391672,0.0,105.15718,0.9655565
RTSIsc1.48dRnd0000010891_Ne.4Si50_Cr.0Bi41.00-5SBi-06.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,41.0,-6.0,50.0,50.5,319.5,0.39257756,-47.388718,-6.9756646,-2.713342,266.19296,-63.013298,62.648273,0.3524287,44.175095,39.911736,5.8550158,5.0346875,44.144093,27.683266,16.460829,16.39389,21.02283,18.35989,10.940666,159.75,91.93247,67.81753,67.81753,91.93247,632.1,5.465141,36.97,0.0,4.9436564,27.92461,55.13156,76.46469,105.035,184.63591,61.491985,45.04806,32.99172,38.43281,0.0,10.949983,1.542489
RTSIsc1.48dRnd0000010224_Ne.4Si50_Cr.0Bi-26.00-5SBi-09.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-26.0,-9.0,50.0,50.5,319.5,0.45276305,-70.90644,-92.367966,-83.147804,419.50104,-108.79756,19.605059,0.3286626,12.675593,20.961313,8.768109,83.12114,41.035297,25.525484,15.509812,15.447359,22.941813,93.86109,83.85376,159.75,94.64036,65.10964,65.10964,94.64036,632.4,5.377734,36.89,0.0,19.863844,43.453014,54.74736,61.42178,84.238655,175.4931,54.614437,45.64884,40.618546,52.300407,0.0,92.820724,0.8924241
RTSIsc1.48dRnd0000011823_Ne.4Si50_Cr.0Bi-27.00-5SBi-01.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-27.0,-1.0,50.0,50.5,319.5,0.26145053,-8.646929,-35.18131,-23.695614,359.98782,-76.30943,56.92878,0.3051239,14.916375,26.033953,11.0056095,23.61611,39.912952,25.576265,14.336687,14.275765,18.991327,37.182022,25.860304,159.75,100.770096,58.979908,58.979908,100.770096,632.58,5.463,37.06,0.0,10.171547,32.931797,48.89564,60.210938,86.03764,182.92255,60.40795,50.22728,43.400158,57.3745,0.0,35.442757,0.6412893
RTSIsc1.48dRnd0000012011_Ne.4Si50_Cr.0Bi-39.00-5SBi00.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-39.0,0.0,50.0,50.5,319.5,0.35767627,1.4026053,-36.956398,-24.939579,358.5572,-76.8938,56.159847,0.29807347,25.961313,37.856125,11.542063,24.91047,38.76139,24.75625,14.00514,13.946281,18.219704,38.94671,26.965424,159.75,102.38644,57.363564,57.363564,102.38644,631.46,5.540422,37.26,0.0,8.79014,30.880844,47.351704,59.079517,85.89989,185.5584,60.259842,50.496517,43.752766,59.390392,0.0,37.314075,0.64724785
RTSIsc1.48dRnd0000013887_Ne.4Si50_Cr.0Bi37.00-5SBi09.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,37.0,9.0,50.0,50.5,319.5,0.35534894,71.66005,101.78468,93.90691,475.29614,-18.704554,114.50659,0.36330032,22.259188,29.62547,7.466453,93.06205,43.552563,26.609095,16.943468,16.876953,28.365734,102.380135,93.98115,159.75,85.77761,73.97239,73.97239,85.77761,631.9,5.479797,37.13,0.0,31.152672,55.694187,64.18475,67.02864,84.45356,160.22285,49.381874,41.208954,35.96836,42.60414,0.0,101.42934,0.9158561
RTSIsc1.48dRnd0000012376_Ne.4Si50_Cr.0Bi26.00-5SBi01.50-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,26.0,1.5,50.0,50.5,319.5,0.3435007,12.5257225,38.11552,26.841515,340.1845,-51.59244,79.36917,0.3037181,14.211547,25.090687,10.798625,26.09403,39.878017,25.52225,14.355765,14.293625,18.385906,39.18646,27.850492,159.75,101.34778,58.402218,58.402218,101.34778,632.24,5.5422654,36.9,0.0,8.437187,30.969063,48.22083,61.070095,87.6707,183.98322,61.513733,50.763657,43.199814,56.411705,0.0,37.77202,0.669086
